realtime_start,value,date,realtime_end
12/6/2019,1528045,9/1/2008,12/6/2019
12/6/2019,1515386,10/1/2008,12/6/2019
12/6/2019,1496062,11/1/2008,12/6/2019
12/6/2019,1466023,12/1/2008,12/6/2019
12/6/2019,1447932,1/1/2009,12/6/2019
12/6/2019,1426328,2/1/2009,12/6/2019
12/6/2019,1405782,3/1/2009,12/6/2019
12/6/2019,1387908,4/1/2009,12/6/2019
12/6/2019,1371396,5/1/2009,12/6/2019
12/6/2019,1353773,6/1/2009,12/6/2019
12/6/2019,1339347,7/1/2009,12/6/2019
12/6/2019,1320305,8/1/2009,12/6/2019
12/6/2019,1315428,9/1/2009,12/6/2019
12/6/2019,1323154,10/1/2009,12/6/2019
12/6/2019,1332775,11/1/2009,12/6/2019
12/6/2019,1332351,12/1/2009,12/6/2019
12/6/2019,1333102,1/1/2010,12/6/2019
12/6/2019,1340346,2/1/2010,12/6/2019
12/6/2019,1348360,3/1/2010,12/6/2019
12/6/2019,1353403,4/1/2010,12/6/2019
12/6/2019,1356385,5/1/2010,12/6/2019
12/6/2019,1367853,6/1/2010,12/6/2019
12/6/2019,1379120,7/1/2010,12/6/2019
12/6/2019,1391057,8/1/2010,12/6/2019
12/6/2019,1407393,9/1/2010,12/6/2019
12/6/2019,1422131,10/1/2010,12/6/2019
12/6/2019,1432754,11/1/2010,12/6/2019
12/6/2019,1451079,12/1/2010,12/6/2019
12/6/2019,1460462,1/1/2011,12/6/2019
12/6/2019,1469593,2/1/2011,12/6/2019
12/6/2019,1489143,3/1/2011,12/6/2019
12/6/2019,1501243,4/1/2011,12/6/2019
12/6/2019,1519517,5/1/2011,12/6/2019
12/6/2019,1527619,6/1/2011,12/6/2019
12/6/2019,1532433,7/1/2011,12/6/2019
12/6/2019,1541136,8/1/2011,12/6/2019
12/6/2019,1536053,9/1/2011,12/6/2019
12/6/2019,1547957,10/1/2011,12/6/2019
12/6/2019,1556891,11/1/2011,12/6/2019
12/6/2019,1565659,12/1/2011,12/6/2019
12/6/2019,1572125,1/1/2012,12/6/2019
12/6/2019,1585160,2/1/2012,12/6/2019
12/6/2019,1592139,3/1/2012,12/6/2019
12/6/2019,1598460,4/1/2012,12/6/2019
12/6/2019,1605537,5/1/2012,12/6/2019
12/6/2019,1610395,6/1/2012,12/6/2019
12/6/2019,1622359,7/1/2012,12/6/2019
12/6/2019,1631413,8/1/2012,12/6/2019
12/6/2019,1640563,9/1/2012,12/6/2019
12/6/2019,1643004,10/1/2012,12/6/2019
12/6/2019,1650003,11/1/2012,12/6/2019
12/6/2019,1654225,12/1/2012,12/6/2019
12/6/2019,1668998,1/1/2013,12/6/2019
12/6/2019,1669846,2/1/2013,12/6/2019
12/6/2019,1668337,3/1/2013,12/6/2019
12/6/2019,1670968,4/1/2013,12/6/2019
12/6/2019,1669501,5/1/2013,12/6/2019
12/6/2019,1669348,6/1/2013,12/6/2019
12/6/2019,1674302,7/1/2013,12/6/2019
12/6/2019,1682766,8/1/2013,12/6/2019
12/6/2019,1690541,9/1/2013,12/6/2019
12/6/2019,1701826,10/1/2013,12/6/2019
12/6/2019,1710781,11/1/2013,12/6/2019
12/6/2019,1718818,12/1/2013,12/6/2019
12/6/2019,1726264,1/1/2014,12/6/2019
12/6/2019,1734116,2/1/2014,12/6/2019
12/6/2019,1740036,3/1/2014,12/6/2019
12/6/2019,1748295,4/1/2014,12/6/2019
12/6/2019,1755384,5/1/2014,12/6/2019
12/6/2019,1758622,6/1/2014,12/6/2019
12/6/2019,1765252,7/1/2014,12/6/2019
12/6/2019,1769013,8/1/2014,12/6/2019
12/6/2019,1770491,9/1/2014,12/6/2019
12/6/2019,1776330,10/1/2014,12/6/2019
12/6/2019,1779182,11/1/2014,12/6/2019
12/6/2019,1778197,12/1/2014,12/6/2019
12/6/2019,1776922,1/1/2015,12/6/2019
12/6/2019,1782777,2/1/2015,12/6/2019
12/6/2019,1785378,3/1/2015,12/6/2019
12/6/2019,1792799,4/1/2015,12/6/2019
12/6/2019,1794183,5/1/2015,12/6/2019
12/6/2019,1804858,6/1/2015,12/6/2019
12/6/2019,1807507,7/1/2015,12/6/2019
12/6/2019,1807005,8/1/2015,12/6/2019
12/6/2019,1812066,9/1/2015,12/6/2019
12/6/2019,1813835,10/1/2015,12/6/2019
12/6/2019,1809479,11/1/2015,12/6/2019
12/6/2019,1808388,12/1/2015,12/6/2019
12/6/2019,1804626,1/1/2016,12/6/2019
12/6/2019,1799540,2/1/2016,12/6/2019
12/6/2019,1809145,3/1/2016,12/6/2019
12/6/2019,1812993,4/1/2016,12/6/2019
12/6/2019,1816701,5/1/2016,12/6/2019
12/6/2019,1818409,6/1/2016,12/6/2019
12/6/2019,1816775,7/1/2016,12/6/2019
12/6/2019,1818757,8/1/2016,12/6/2019
12/6/2019,1822060,9/1/2016,12/6/2019
12/6/2019,1820624,10/1/2016,12/6/2019
12/6/2019,1833397,11/1/2016,12/6/2019
12/6/2019,1838515,12/1/2016,12/6/2019
12/6/2019,1840905,1/1/2017,12/6/2019
12/6/2019,1844190,2/1/2017,12/6/2019
12/6/2019,1851701,3/1/2017,12/6/2019
12/6/2019,1846961,4/1/2017,12/6/2019
12/6/2019,1853153,5/1/2017,12/6/2019
12/6/2019,1861409,6/1/2017,12/6/2019
12/6/2019,1866102,7/1/2017,12/6/2019
12/6/2019,1878756,8/1/2017,12/6/2019
12/6/2019,1882225,9/1/2017,12/6/2019
12/6/2019,1883035,10/1/2017,12/6/2019
12/6/2019,1892270,11/1/2017,12/6/2019
12/6/2019,1900128,12/1/2017,12/6/2019
12/6/2019,1910650,1/1/2018,12/6/2019
12/6/2019,1920723,2/1/2018,12/6/2019
12/6/2019,1921801,3/1/2018,12/6/2019
12/6/2019,1926701,4/1/2018,12/6/2019
12/6/2019,1934054,5/1/2018,12/6/2019
12/6/2019,1934716,6/1/2018,12/6/2019
12/6/2019,1948232,7/1/2018,12/6/2019
12/6/2019,1959161,8/1/2018,12/6/2019
12/6/2019,1968204,9/1/2018,12/6/2019
12/6/2019,1980310,10/1/2018,12/6/2019
12/6/2019,1979978,11/1/2018,12/6/2019
12/6/2019,1993868,12/1/2018,12/6/2019
12/6/2019,2010849,1/1/2019,12/6/2019
12/6/2019,2018638,2/1/2019,12/6/2019
12/6/2019,2018737,3/1/2019,12/6/2019
12/6/2019,2029828,4/1/2019,12/6/2019
12/6/2019,2035784,5/1/2019,12/6/2019
12/6/2019,2035201,6/1/2019,12/6/2019
12/6/2019,2041782,7/1/2019,12/6/2019
12/6/2019,2040517,8/1/2019,12/6/2019
12/6/2019,2041533,9/1/2019,12/6/2019
